frame,scenario,is_burst_frame,particles_alive,resource_blobs_alive,linear_used_bytes,linear_peak_bytes,stack_used_bytes,stack_peak_bytes,pool_capacity,pool_free_slots,free_list_used_bytes,free_list_peak_bytes,free_list_total_free_bytes,free_list_largest_free_block,free_list_free_block_count,free_list_fragmentation_ratio,allocation_failures_this_frame,allocation_failures_total
205,steady,0,20000,1217,835168,835168,0,25652,50000,30000,689993,689993,7698615,7634007,455,0.00839216,0,0
206,steady,0,20000,1213,835168,835168,0,25652,50000,30000,686995,689993,7701613,7634007,459,0.00877816,0,0
207,steady,0,20000,1206,835168,835168,0,25652,50000,30000,684962,689993,7703646,7634007,463,0.00903975,0,0
208,steady,0,20000,1207,835168,835168,0,25652,50000,30000,684282,689993,7704326,7634007,462,0.00912721,0,0
209,steady,0,20000,1206,835168,835168,0,25652,50000,30000,682517,689993,7706091,7634007,463,0.00935416,0,0
210,steady,0,20000,1197,835168,835168,0,25652,50000,30000,678592,689993,7710016,7634007,466,0.00985848,0,0
211,steady,0,20000,1200,835168,835168,0,25652,50000,30000,681656,689993,7706952,7634007,461,0.00946483,0,0
212,steady,0,20000,1200,835168,835168,0,25652,50000,30000,681142,689993,7707466,7634007,462,0.00953089,0,0
213,steady,0,20000,1193,835168,835168,0,25652,50000,30000,678134,689993,7710474,7634007,466,0.00991729,0,0
214,steady,0,20000,1184,835168,835168,0,25652,50000,30000,673869,689993,7714739,7634007,465,0.0104646,0,0
215,steady,0,20000,1186,835168,835168,0,25652,50000,30000,674944,689993,7713664,7634007,458,0.0103267,0,0
216,steady,0,20000,1191,835168,835168,0,25652,50000,30000,677824,689993,7710784,7634007,459,0.00995709,0,0
217,steady,0,20000,1196,835168,835168,0,25652,50000,30000,681920,689993,7706688,7634007,455,0.0094309,0,0
218,steady,0,20000,1200,835168,835168,0,25652,50000,30000,683526,689993,7705082,7634007,457,0.00922443,0,0
219,steady,0,20000,1204,835168,835168,0,25652,50000,30000,684601,689993,7704007,7634007,456,0.00908618,0,0
220,steady,0,20000,1207,835168,835168,0,25652,50000,30000,686762,689993,7701846,7634007,451,0.00880815,0,0
221,steady,0,20000,1211,835168,835168,0,25652,50000,30000,690871,690871,7697737,7633026,450,0.0084065,0,0
222,steady,0,20000,1208,835168,835168,0,25652,50000,30000,691644,691644,7696964,7631138,450,0.0085522,0,0
223,steady,0,20000,1210,835168,835168,0,25652,50000,30000,693753,693753,7694855,7629262,452,0.00852427,0,0
224,steady,0,20000,1205,835168,835168,0,25652,50000,30000,691876,693753,7696732,7629262,451,0.00876606,0,0
225,steady,0,20000,1204,835168,835168,0,25652,50000,30000,690329,693753,7698279,7629262,447,0.00896525,0,0
226,steady,0,20000,1207,835168,835168,0,25652,50000,30000,692142,693753,7696466,7629262,446,0.0087318,0,0
227,steady,0,20000,1208,835168,835168,0,25652,50000,30000,692039,693753,7696569,7629262,446,0.00874507,0,0
228,steady,0,20000,1210,835168,835168,0,25652,50000,30000,690641,693753,7697967,7629262,442,0.00892508,0,0
229,steady,0,20000,1212,835168,835168,0,25652,50000,30000,691014,693753,7697594,7629262,441,0.00887706,0,0
230,steady,0,20000,1217,835168,835168,0,25652,50000,30000,693299,693753,7695309,7629262,442,0.00858276,0,0
231,steady,0,20000,1214,835168,835168,0,25652,50000,30000,691287,693753,7697321,7629262,441,0.00884191,0,0
232,steady,0,20000,1209,835168,835168,0,25652,50000,30000,688130,693753,7700478,7629262,447,0.00924826,0,0
233,steady,0,20000,1211,835168,835168,0,25652,50000,30000,688702,693753,7699906,7629262,446,0.00917466,0,0
